Name: Wrexham Road, Instruction: Head southwest on Wrexham Road, Distance: 16.5 meters, Time: 11.9 seconds
Name: Baldock Street, Instruction: Turn left onto Baldock Street, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep left, Distance: 83.3 meters, Time: 60.0 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Keep left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn slight left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.8 seconds
Name: Bow Arts Lane, Instruction: Turn left onto Bow Arts Lane, Distance: 55.6 meters, Time: 40.0 seconds
Name: Bow Road, Instruction: Turn right onto Bow Road, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 35.2 meters, Time: 25.3 seconds
Name: Bow Road, Instruction: Turn right onto Bow Road, Distance: 14.7 meters, Time: 10.6 seconds
Name: Bromley High Street, Instruction: Turn left onto Bromley High Street, Distance: 37.5 meters, Time: 27.0 seconds
Name: Rainhill Way, Instruction: Turn sharp right onto Rainhill Way, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Keep left, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Turn right, Distance: 138.8 meters, Time: 99.9 seconds
Name: Rainhill Way, Instruction: Turn left onto Rainhill Way, Distance: 51.3 meters, Time: 37.0 seconds
Name: Rainhill Way, Instruction: Turn left onto Rainhill Way, Distance: 205.4 meters, Time: 147.9 seconds
Name: -, Instruction: Turn right, Distance: 206.8 meters, Time: 148.9 seconds
Name: -, Instruction: Turn right, Distance: 61.6 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 257.6 meters, Time: 185.5 seconds
Name: Fittleton Gardens, Instruction: Turn right onto Fittleton Gardens, Distance: 4.5 meters, Time: 3.2 seconds
Name: Violet Road, Instruction: Turn left onto Violet Road, Distance: 153.8 meters, Time: 110.7 seconds
Name: Yeo Street, Instruction: Turn right onto Yeo Street, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Keep left, Distance: 74.8 meters, Time: 53.8 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.7 seconds
Name: Balladier Walk, Instruction: Turn left onto Balladier Walk, Distance: 69.5 meters, Time: 50.0 seconds
Name: Balladier Walk, Instruction: Turn left onto Balladier Walk, Distance: 77.8 meters, Time: 56.0 seconds
Name: Barchester Street, Instruction: Turn right onto Barchester Street, Distance: 70.7 meters, Time: 50.9 seconds
Name: Chrisp Street, Instruction: Turn right onto Chrisp Street, Distance: 40.2 meters, Time: 28.9 seconds
Name: Pioneer Close, Instruction: Turn right onto Pioneer Close, Distance: 36.9 meters, Time: 26.6 seconds
Name: Pioneer Close, Instruction: Turn left onto Pioneer Close, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Arrive at Pioneer Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
