Name: St. Clair Avenue East, Instruction: Head west on St. Clair Avenue East, Distance: 140.4 meters, Time: 101.1 seconds
Name: Ferndale Avenue, Instruction: Turn right onto Ferndale Avenue, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 92.7 meters, Time: 66.8 seconds
Name: -, Instruction: Keep right, Distance: 203.5 meters, Time: 146.5 seconds
Name: -, Instruction: Turn left, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Keep left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 116.1 meters, Time: 83.6 seconds
Name: -, Instruction: Turn right, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Keep left, Distance: 627.8 meters, Time: 452.0 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 123.9 meters, Time: 89.2 seconds
Name: -, Instruction: Turn right, Distance: 159.7 meters, Time: 115.0 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
