Name: Glenlake Avenue, Instruction: Head east on Glenlake Avenue, Distance: 8.0 meters, Time: 5.8 seconds
Name: Pacific Avenue, Instruction: Turn left onto Pacific Avenue, Distance: 206.6 meters, Time: 148.8 seconds
Name: Oakmount Road, Instruction: Turn right onto Oakmount Road, Distance: 213.0 meters, Time: 153.4 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn slight right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn slight left, Distance: 104.3 meters, Time: 75.1 seconds
Name: -, Instruction: Turn left, Distance: 87.9 meters, Time: 63.3 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Humberside Avenue, Instruction: Turn right onto Humberside Avenue, Distance: 61.6 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Keep right, Distance: 334.2 meters, Time: 240.6 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
