Name: شارع 33, Instruction: Head west on شارع 33, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 62.1 meters, Time: 44.7 seconds
Name: شارع 5, Instruction: Turn right onto شارع 5, Distance: 17.9 meters, Time: 12.9 seconds
Name: شارع 60, Instruction: Turn left onto شارع 60, Distance: 102.7 meters, Time: 73.9 seconds
Name: شارع 49, Instruction: Turn right onto شارع 49, Distance: 32.2 meters, Time: 23.1 seconds
Name: شارع 60, Instruction: Turn left onto شارع 60, Distance: 27.5 meters, Time: 19.8 seconds
Name: شارع 60, Instruction: Keep right onto شارع 60, Distance: 62.6 meters, Time: 45.1 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 60.2 meters, Time: 43.3 seconds
Name: -, Instruction: Turn right, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 75.7 meters, Time: 54.5 seconds
Name: شارع 132, Instruction: Turn left onto شارع 132, Distance: 250.1 meters, Time: 180.1 seconds
Name: شارع 83, Instruction: Turn left onto شارع 83, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at شارع 83, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
