Name: South Kalamath Street, Instruction: Head south on South Kalamath Street, Distance: 43.0 meters, Time: 31.0 seconds
Name: West Cedar Avenue, Instruction: Turn left onto West Cedar Avenue, Distance: 53.5 meters, Time: 38.5 seconds
Name: -, Instruction: Turn right, Distance: 121.8 meters, Time: 87.7 seconds
Name: -, Instruction: Turn left, Distance: 57.9 meters, Time: 41.7 seconds
Name: West Byers Place, Instruction: Turn left onto West Byers Place, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn right, Distance: 114.5 meters, Time: 82.4 seconds
Name: -, Instruction: Turn slight left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn slight left, Distance: 421.4 meters, Time: 303.4 seconds
Name: -, Instruction: Keep right, Distance: 167.6 meters, Time: 120.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
