Name: Servington Crescent, Instruction: Head south on Servington Crescent, Distance: 95.8 meters, Time: 69.0 seconds
Name: Thurloe Avenue, Instruction: Turn left onto Thurloe Avenue, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 129.1 meters, Time: 93.0 seconds
Name: -, Instruction: Turn right, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Turn left, Distance: 163.1 meters, Time: 117.4 seconds
Name: -, Instruction: Keep left, Distance: 112.4 meters, Time: 80.9 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 121.1 meters, Time: 87.2 seconds
Name: -, Instruction: Turn left, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Turn slight left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn slight right, Distance: 129.8 meters, Time: 93.4 seconds
Name: -, Instruction: Keep right, Distance: 36.2 meters, Time: 26.0 seconds
Name: -, Instruction: Turn slight left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
