Name: Marsiling Industrial Estate Road 3, Instruction: Head west on Marsiling Industrial Estate Road 3, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 282.0 meters, Time: 203.1 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: Woodlands (Ave 2) Park Connector, Instruction: Turn slight right onto Woodlands (Ave 2) Park Connector, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 35.9 meters, Time: 25.8 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 155.2 meters, Time: 111.8 seconds
Name: -, Instruction: Turn left, Distance: 110.1 meters, Time: 79.3 seconds
Name: -, Instruction: Keep right, Distance: 115.7 meters, Time: 83.3 seconds
Name: Woodlands Street 81, Instruction: Turn left onto Woodlands Street 81, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn right, Distance: 214.4 meters, Time: 154.4 seconds
Name: -, Instruction: Turn right, Distance: 92.4 meters, Time: 66.5 seconds
Name: -, Instruction: Turn left, Distance: 139.4 meters, Time: 100.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
