Name: Calle Ingenio Zacatepec, Instruction: Head northwest on Calle Ingenio Zacatepec, Distance: 521.6 meters, Time: 375.6 seconds
Name: Calzada del Hueso, Instruction: Turn left onto Calzada del Hueso, Distance: 183.6 meters, Time: 132.2 seconds
Name: -, Instruction: Turn right, Distance: 480.4 meters, Time: 345.9 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 24.7 meters, Time: 17.8 seconds
Name: Calle Rancho Vista Hermosa, Instruction: Turn left onto Calle Rancho Vista Hermosa, Distance: 22.0 meters, Time: 15.8 seconds
Name: Calle Rancho Vista Hermosa, Instruction: Keep right onto Calle Rancho Vista Hermosa, Distance: 253.6 meters, Time: 182.6 seconds
Name: Calle Naranjales, Instruction: Turn right onto Calle Naranjales, Distance: 129.0 meters, Time: 92.9 seconds
Name: -, Instruction: Turn left, Distance: 65.0 meters, Time: 46.8 seconds
Name: -, Instruction: Turn right, Distance: 132.1 meters, Time: 95.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
