Name: Grosvenor Lane, Instruction: Head west on Grosvenor Lane, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Turn left, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 272.2 meters, Time: 196.0 seconds
Name: Keiran Street, Instruction: Turn right onto Keiran Street, Distance: 40.6 meters, Time: 29.3 seconds
Name: Keiran Lane, Instruction: Turn left onto Keiran Lane, Distance: 89.0 meters, Time: 64.1 seconds
Name: -, Instruction: Turn right, Distance: 69.5 meters, Time: 50.0 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 352.8 meters, Time: 254.0 seconds
Name: York Lane, Instruction: Turn right onto York Lane, Distance: 8.2 meters, Time: 5.9 seconds
Name: Birrell Street, Instruction: Turn left onto Birrell Street, Distance: 56.3 meters, Time: 40.5 seconds
Name: York Road, Instruction: Enter the roundabout and take the 1st exit onto York Road, Distance: 80.6 meters, Time: 58.1 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
