Name: Rosmead Avenue, M28, Instruction: Head north on Rosmead Avenue, M28, Distance: 92.7 meters, Time: 66.7 seconds
Name: Ross Road, Instruction: Turn left onto Ross Road, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 298.1 meters, Time: 214.6 seconds
Name: Rosmead Avenue, Instruction: Continue straight onto Rosmead Avenue, Distance: 318.0 meters, Time: 228.9 seconds
Name: Carabinier Road, Instruction: Turn right onto Carabinier Road, Distance: 15.0 meters, Time: 10.8 seconds
Name: Byrnes Avenue, Instruction: Turn left onto Byrnes Avenue, Distance: 467.1 meters, Time: 336.3 seconds
Name: Ottery Road, Instruction: Turn right onto Ottery Road, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Keep left, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 74.8 meters, Time: 53.8 seconds
Name: Sandhurst Road, Instruction: Turn sharp right onto Sandhurst Road, Distance: 246.0 meters, Time: 177.1 seconds
Name: Castletown Road, Instruction: Turn right onto Castletown Road, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Keep right, Distance: 33.3 meters, Time: 24.0 seconds
Name: Piers Road, Instruction: Turn slight right onto Piers Road, Distance: 180.3 meters, Time: 129.8 seconds
Name: -, Instruction: Keep left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn slight left, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
