Name: Ballyliffin Drive, Instruction: Head northeast on Ballyliffin Drive, Distance: 155.6 meters, Time: 112.1 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 57.0 meters, Time: 41.1 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Continue straight, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn slight right, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight right, Distance: 250.3 meters, Time: 180.2 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight right, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
