Name: Rue Salvador Allende, Instruction: Head northwest on Rue Salvador Allende, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight left, Distance: 4.1 meters, Time: 3.0 seconds
Name: Avenue Jean Jaurès, Instruction: Turn right onto Avenue Jean Jaurès, Distance: 65.2 meters, Time: 46.9 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight right, Distance: 88.6 meters, Time: 63.8 seconds
Name: -, Instruction: Turn right, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn slight right, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 164.6 meters, Time: 118.5 seconds
Name: -, Instruction: Keep left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Turn left, Distance: 128.1 meters, Time: 92.2 seconds
Name: -, Instruction: Keep right, Distance: 325.9 meters, Time: 234.7 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 161.8 meters, Time: 116.5 seconds
Name: -, Instruction: Turn left, Distance: 136.6 meters, Time: 98.3 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight right, Distance: 103.0 meters, Time: 74.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
