Name: Moore Street, Instruction: Head west on Moore Street, Distance: 153.4 meters, Time: 110.4 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 281.8 meters, Time: 202.9 seconds
Name: Liverpool-Parramatta T-way cycle path, Instruction: Keep left onto Liverpool-Parramatta T-way cycle path, Distance: 227.6 meters, Time: 163.9 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn slight left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 73.2 meters, Time: 52.7 seconds
Name: Murphy Avenue, Instruction: Turn left onto Murphy Avenue, Distance: 462.7 meters, Time: 333.1 seconds
Name: Smith Crescent, Instruction: Turn left onto Smith Crescent, Distance: 111.6 meters, Time: 80.4 seconds
Name: -, Instruction: Turn right, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
