Name: شارع محمد سعيد, Instruction: Head southeast on شارع محمد سعيد, Distance: 199.6 meters, Time: 143.7 seconds
Name: شارع فتحي زكي, Instruction: Turn left onto شارع فتحي زكي, Distance: 191.0 meters, Time: 137.5 seconds
Name: شارع مستشفى القوات المسلحه, Instruction: Turn right onto شارع مستشفى القوات المسلحه, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 243.5 meters, Time: 175.3 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 70.6 meters, Time: 50.8 seconds
Name: -, Instruction: Turn right, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn left, Distance: 165.7 meters, Time: 119.3 seconds
Name: -, Instruction: Keep left, Distance: 54.1 meters, Time: 39.0 seconds
Name: -, Instruction: Keep right, Distance: 34.0 meters, Time: 24.5 seconds
Name: شارع ابراج عثمان, Instruction: Turn right onto شارع ابراج عثمان, Distance: 84.5 meters, Time: 60.8 seconds
Name: شارع كورنيش النيل, Instruction: Turn left onto شارع كورنيش النيل, Distance: 298.2 meters, Time: 214.7 seconds
Name: -, Instruction: Arrive at شارع كورنيش النيل, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
