Name: King Street, Instruction: Head north on King Street, Distance: 186.4 meters, Time: 134.2 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn right, Distance: 352.0 meters, Time: 253.4 seconds
Name: -, Instruction: Turn slight right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
