Name: River Oak Circuit, Instruction: Head north on River Oak Circuit, Distance: 242.1 meters, Time: 174.3 seconds
Name: -, Instruction: Turn right, Distance: 142.9 meters, Time: 102.9 seconds
Name: -, Instruction: Turn left, Distance: 173.4 meters, Time: 124.9 seconds
Name: -, Instruction: Turn left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.2 seconds
Name: -, Instruction: Turn slight right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn left, Distance: 135.6 meters, Time: 97.6 seconds
Name: -, Instruction: Turn left, Distance: 133.2 meters, Time: 95.9 seconds
Name: -, Instruction: Keep left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn slight left, Distance: 349.8 meters, Time: 251.8 seconds
Name: -, Instruction: Turn left, Distance: 630.1 meters, Time: 453.6 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 124.2 meters, Time: 89.4 seconds
Name: -, Instruction: Turn left, Distance: 212.2 meters, Time: 152.8 seconds
Name: -, Instruction: Turn right, Distance: 118.4 meters, Time: 85.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
