Name: Jurong West Street 41, Instruction: Head east on Jurong West Street 41, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 651.2 meters, Time: 468.8 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 413.2 meters, Time: 297.5 seconds
Name: -, Instruction: Continue straight, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Continue straight, Distance: 244.7 meters, Time: 176.2 seconds
Name: -, Instruction: Turn slight right, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn left, Distance: 92.1 meters, Time: 66.3 seconds
Name: -, Instruction: Continue straight, Distance: 481.8 meters, Time: 346.9 seconds
Name: -, Instruction: Continue straight, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn slight right, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 105.8 meters, Time: 76.2 seconds
Name: Jurong Park Connector, Instruction: Continue straight onto Jurong Park Connector, Distance: 54.1 meters, Time: 38.9 seconds
Name: -, Instruction: Turn right, Distance: 106.4 meters, Time: 76.6 seconds
Name: -, Instruction: Keep right, Distance: 17.1 meters, Time: 12.3 seconds
Name: Jurong East Street 13, Instruction: Turn left onto Jurong East Street 13, Distance: 46.7 meters, Time: 33.7 seconds
Name: -, Instruction: Arrive at Jurong East Street 13, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
