Name: Nanyang Drive, Instruction: Head south on Nanyang Drive, Distance: 22.3 meters, Time: 16.0 seconds
Name: Lien Ying Chow Drive, Instruction: Enter the roundabout and take the 3rd exit onto Lien Ying Chow Drive, Distance: 158.9 meters, Time: 114.4 seconds
Name: Students Walk, Instruction: Turn right onto Students Walk, Distance: 227.9 meters, Time: 164.1 seconds
Name: Students Walk, Instruction: Keep right onto Students Walk, Distance: 57.5 meters, Time: 41.4 seconds
Name: Nanyang Circle, Instruction: Enter the roundabout and take the 1st exit onto Nanyang Circle, Distance: 402.0 meters, Time: 289.4 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn slight left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn slight right, Distance: 166.5 meters, Time: 119.9 seconds
Name: Jurong West Street 91, Instruction: Turn right onto Jurong West Street 91, Distance: 114.7 meters, Time: 82.6 seconds
Name: -, Instruction: Turn left, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Turn left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 249.9 meters, Time: 179.9 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
