Name: Bingham Avenue, Instruction: Head north on Bingham Avenue, Distance: 194.1 meters, Time: 139.7 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn slight left, Distance: 68.0 meters, Time: 48.9 seconds
Name: -, Instruction: Turn left, Distance: 500.1 meters, Time: 360.1 seconds
Name: -, Instruction: Turn left, Distance: 142.8 meters, Time: 102.8 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 202.9 meters, Time: 146.1 seconds
Name: -, Instruction: Keep right, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: Sibley Avenue, Instruction: Turn right onto Sibley Avenue, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 116.1 meters, Time: 83.6 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Keep right, Distance: 150.3 meters, Time: 108.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Turn slight left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Keep right, Distance: 103.1 meters, Time: 74.3 seconds
Name: -, Instruction: Turn right, Distance: 250.5 meters, Time: 180.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
