Name: Zügelstraße, Instruction: Head west on Zügelstraße, Distance: 6.2 meters, Time: 4.5 seconds
Name: Netzerstraße, Instruction: Turn right onto Netzerstraße, Distance: 386.2 meters, Time: 278.0 seconds
Name: -, Instruction: Turn slight left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 84.8 meters, Time: 61.1 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Keep right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn right, Distance: 57.3 meters, Time: 41.3 seconds
Name: Großbeerenstraße, Instruction: Turn left onto Großbeerenstraße, Distance: 8.0 meters, Time: 5.7 seconds
Name: Bunzlauer Platz, Instruction: Turn right onto Bunzlauer Platz, Distance: 35.7 meters, Time: 25.7 seconds
Name: Bunzlauer Straße, Instruction: Keep right onto Bunzlauer Straße, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 89.7 meters, Time: 64.6 seconds
Name: -, Instruction: Continue straight, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn slight right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Keep left, Distance: 54.5 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 255.6 meters, Time: 184.0 seconds
Name: Dachauer Straße, Instruction: Turn left onto Dachauer Straße, Distance: 258.2 meters, Time: 185.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
