Name: Harcourt Avenue, Instruction: Head west on Harcourt Avenue, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 161.9 meters, Time: 116.6 seconds
Name: -, Instruction: Keep left, Distance: 8.7 meters, Time: 6.2 seconds
Name: Strathcona Avenue, Instruction: Turn right onto Strathcona Avenue, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 374.6 meters, Time: 269.7 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Blake Street, Instruction: Turn left onto Blake Street, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 101.8 meters, Time: 73.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
