Name: Impasse Barrier, Instruction: Head east on Impasse Barrier, Distance: 62.7 meters, Time: 45.2 seconds
Name: Rue de Cîteaux, Instruction: Turn left onto Rue de Cîteaux, Distance: 28.4 meters, Time: 20.5 seconds
Name: Rue Crozatier, Instruction: Turn slight left onto Rue Crozatier, Distance: 9.5 meters, Time: 6.9 seconds
Name: Rue de Cîteaux, Instruction: Turn right onto Rue de Cîteaux, Distance: 396.6 meters, Time: 285.6 seconds
Name: Passage Commun G/11, Instruction: Turn right onto Passage Commun G/11, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Turn slight right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 164.7 meters, Time: 118.6 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep left, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Keep left, Distance: 154.7 meters, Time: 111.4 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: Rue Richard Lenoir, Instruction: Turn left onto Rue Richard Lenoir, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 31.0 meters, Time: 22.4 seconds
Name: -, Instruction: Turn slight right, Distance: 59.2 meters, Time: 42.6 seconds
Name: Rue Japy, Instruction: Turn left onto Rue Japy, Distance: 5.1 meters, Time: 3.6 seconds
Name: Rue François de Neufchâteau, Instruction: Turn right onto Rue François de Neufchâteau, Distance: 456.7 meters, Time: 328.8 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 121.3 meters, Time: 87.3 seconds
Name: -, Instruction: Turn slight left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.6 seconds
Name: Allée Stefa Skurnik, Instruction: Continue straight onto Allée Stefa Skurnik, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Continue straight, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 103.2 meters, Time: 74.3 seconds
Name: -, Instruction: Turn left, Distance: 44.5 meters, Time: 32.0 seconds
Name: Avenue Principale, Instruction: Turn right onto Avenue Principale, Distance: 20.5 meters, Time: 14.7 seconds
Name: Avenue du Boulevard, Instruction: Turn left onto Avenue du Boulevard, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 106.6 meters, Time: 76.7 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: Avenue Thirion, Instruction: Turn right onto Avenue Thirion, Distance: 60.4 meters, Time: 43.5 seconds
Name: Chemin Bourget, Instruction: Turn left onto Chemin Bourget, Distance: 89.1 meters, Time: 64.2 seconds
Name: Avenue des Ailantes, Instruction: Turn right onto Avenue des Ailantes, Distance: 116.3 meters, Time: 83.8 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
