Name: Bauernfeindstraße, Instruction: Head north on Bauernfeindstraße, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 117.3 meters, Time: 84.4 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 48.0 meters, Time: 34.6 seconds
Name: Kieferngartenstraße, Instruction: Turn left onto Kieferngartenstraße, Distance: 93.2 meters, Time: 67.1 seconds
Name: Zedernweg, Instruction: Turn right onto Zedernweg, Distance: 180.8 meters, Time: 130.2 seconds
Name: Schlößlanger, Instruction: Turn left onto Schlößlanger, Distance: 183.2 meters, Time: 131.9 seconds
Name: Karl-Köglsperger-Straße, Instruction: Turn right onto Karl-Köglsperger-Straße, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Keep right, Distance: 44.0 meters, Time: 31.6 seconds
Name: -, Instruction: Turn slight right, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: Paul-Hindemith-Allee, Instruction: Turn left onto Paul-Hindemith-Allee, Distance: 42.1 meters, Time: 30.3 seconds
Name: Heidemannstraße, Instruction: Turn right onto Heidemannstraße, Distance: 9.5 meters, Time: 6.8 seconds
Name: Paul-Hindemith-Allee, Instruction: Turn left onto Paul-Hindemith-Allee, Distance: 988.7 meters, Time: 711.9 seconds
Name: Maria-Probst-Straße, Instruction: Keep left onto Maria-Probst-Straße, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: Maria-Probst-Straße, Instruction: Turn right onto Maria-Probst-Straße, Distance: 247.3 meters, Time: 178.1 seconds
Name: -, Instruction: Arrive at Maria-Probst-Straße, on the left, Distance: 0.0 meters, Time: 0.0 seconds
