Name: Frühlingsweg, Instruction: Head northeast on Frühlingsweg, Distance: 84.5 meters, Time: 60.8 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 64.9 meters, Time: 46.7 seconds
Name: Königinstraße, Instruction: Turn left onto Königinstraße, Distance: 9.4 meters, Time: 6.7 seconds
Name: Ohmstraße, Instruction: Turn right onto Ohmstraße, Distance: 341.3 meters, Time: 245.8 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Turn left, Distance: 156.0 meters, Time: 112.3 seconds
Name: -, Instruction: Turn slight right, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 63.7 meters, Time: 45.9 seconds
Name: -, Instruction: Turn slight left, Distance: 118.8 meters, Time: 85.5 seconds
Name: -, Instruction: Turn left, Distance: 24.5 meters, Time: 17.7 seconds
Name: Friedrichstraße, Instruction: Turn left onto Friedrichstraße, Distance: 4.5 meters, Time: 3.2 seconds
Name: Hohenstaufenstraße, Instruction: Turn right onto Hohenstaufenstraße, Distance: 143.5 meters, Time: 103.3 seconds
Name: Habsburgerstraße, Instruction: Turn right onto Habsburgerstraße, Distance: 104.9 meters, Time: 75.5 seconds
Name: Franz-Joseph-Straße, Instruction: Turn left onto Franz-Joseph-Straße, Distance: 48.7 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
