Name: Kunreuthstraße, Instruction: Head east on Kunreuthstraße, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn left, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: Riesenburgstraße, Instruction: Turn left onto Riesenburgstraße, Distance: 18.2 meters, Time: 13.1 seconds
Name: Weißensteinstraße, Instruction: Turn right onto Weißensteinstraße, Distance: 63.3 meters, Time: 45.6 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 149.3 meters, Time: 107.5 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn slight right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 373.7 meters, Time: 269.0 seconds
Name: Giglweg, Instruction: Turn left onto Giglweg, Distance: 6.7 meters, Time: 4.8 seconds
Name: Giglweg, Instruction: Turn right onto Giglweg, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 87.7 meters, Time: 63.1 seconds
Name: -, Instruction: Keep right, Distance: 96.2 meters, Time: 69.3 seconds
Name: -, Instruction: Turn left, Distance: 188.7 meters, Time: 135.9 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Keep right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Marzellgasse, Instruction: Turn right onto Marzellgasse, Distance: 9.9 meters, Time: 7.2 seconds
Name: Schwemmstraße, Instruction: Keep left onto Schwemmstraße, Distance: 53.5 meters, Time: 38.5 seconds
Name: Schwemmstraße, Instruction: Keep right onto Schwemmstraße, Distance: 115.0 meters, Time: 82.8 seconds
Name: -, Instruction: Keep right, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn slight right, Distance: 28.5 meters, Time: 20.5 seconds
Name: Flunkgasse, Instruction: Turn right onto Flunkgasse, Distance: 53.0 meters, Time: 38.2 seconds
Name: Flunkgasse, Instruction: Turn right onto Flunkgasse, Distance: 39.4 meters, Time: 28.4 seconds
Name: Industriestraße, Instruction: Turn left onto Industriestraße, Distance: 147.6 meters, Time: 106.3 seconds
Name: Sulzemooser Straße, Instruction: Turn right onto Sulzemooser Straße, Distance: 95.4 meters, Time: 68.7 seconds
Name: -, Instruction: Arrive at Sulzemooser Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
