Name: Hall Place, Instruction: Head south on Hall Place, Distance: 45.9 meters, Time: 33.1 seconds
Name: Nelson Street, Instruction: Turn right onto Nelson Street, Distance: 305.7 meters, Time: 220.1 seconds
Name: -, Instruction: Turn right, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Turn right, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 210.9 meters, Time: 151.9 seconds
Name: Kent Street, Instruction: Turn left onto Kent Street, Distance: 325.9 meters, Time: 234.6 seconds
Name: Kent Street, Instruction: Enter the roundabout and take the 2nd exit onto Kent Street, Distance: 225.5 meters, Time: 162.4 seconds
Name: Warwick Street, Instruction: Enter the roundabout and take the 1st exit onto Warwick Street, Distance: 86.5 meters, Time: 62.3 seconds
Name: Phyllis Street, Instruction: Turn left onto Phyllis Street, Distance: 100.8 meters, Time: 72.6 seconds
Name: -, Instruction: Arrive at Phyllis Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
