Name: Rue Eugène Flachat, Instruction: Head east on Rue Eugène Flachat, Distance: 16.1 meters, Time: 11.6 seconds
Name: Rue Alfred Roll, Instruction: Turn right onto Rue Alfred Roll, Distance: 255.4 meters, Time: 183.9 seconds
Name: Rue Alphonse de Neuville, Instruction: Keep left onto Rue Alphonse de Neuville, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Keep right, Distance: 108.4 meters, Time: 78.0 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 80.7 meters, Time: 58.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 131.3 meters, Time: 94.5 seconds
Name: -, Instruction: Keep right, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight left, Distance: 119.0 meters, Time: 85.7 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Keep left, Distance: 106.3 meters, Time: 76.5 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 134.1 meters, Time: 96.6 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 63.3 meters, Time: 45.5 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 318.3 meters, Time: 229.1 seconds
Name: Rue de Tilsitt, Instruction: Turn left onto Rue de Tilsitt, Distance: 78.7 meters, Time: 56.7 seconds
Name: Rue de Tilsitt, Instruction: Keep right onto Rue de Tilsitt, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
