Name: Pasillo B, Instruction: Head west on Pasillo B, Distance: 36.2 meters, Time: 26.1 seconds
Name: Pasillo 5, Instruction: Turn left onto Pasillo 5, Distance: 40.4 meters, Time: 29.1 seconds
Name: Pasillo D, Instruction: Turn right onto Pasillo D, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 138.8 meters, Time: 100.0 seconds
Name: Avenida Balderas, Instruction: Turn left onto Avenida Balderas, Distance: 567.8 meters, Time: 408.8 seconds
Name: Avenida Juárez, Instruction: Turn left onto Avenida Juárez, Distance: 6.3 meters, Time: 4.5 seconds
Name: Calle Balderas, Instruction: Turn right onto Calle Balderas, Distance: 153.1 meters, Time: 110.2 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Keep left, Distance: 68.4 meters, Time: 49.3 seconds
Name: -, Instruction: Turn right, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.3 seconds
Name: Calle Héroes, Instruction: Turn right onto Calle Héroes, Distance: 1142.1 meters, Time: 822.3 seconds
Name: -, Instruction: Arrive at Calle Héroes, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
