Name: Hanger Lane, A4005, Instruction: Head south on Hanger Lane, A4005, Distance: 147.8 meters, Time: 106.4 seconds
Name: Hanger Lane, A4005, Instruction: Keep left onto Hanger Lane, A4005, Distance: 50.9 meters, Time: 36.6 seconds
Name: Priory Gardens, Instruction: Keep left onto Priory Gardens, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn right, Distance: 44.1 meters, Time: 31.7 seconds
Name: S5, Instruction: Turn right onto S5, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Keep left, Distance: 161.7 meters, Time: 116.4 seconds
Name: -, Instruction: Keep left, Distance: 16.0 meters, Time: 11.5 seconds
Name: S1, Instruction: Turn sharp left onto S1, Distance: 115.5 meters, Time: 83.2 seconds
Name: Ritz Parade, Instruction: Turn slight left onto Ritz Parade, Distance: 117.7 meters, Time: 84.8 seconds
Name: -, Instruction: Turn left, Distance: 259.2 meters, Time: 186.6 seconds
Name: Connell Crescent, Instruction: Turn slight left onto Connell Crescent, Distance: 90.9 meters, Time: 65.4 seconds
Name: -, Instruction: Keep left, Distance: 80.5 meters, Time: 57.9 seconds
Name: -, Instruction: Keep right, Distance: 145.0 meters, Time: 104.4 seconds
Name: -, Instruction: Keep right, Distance: 189.2 meters, Time: 136.2 seconds
Name: -, Instruction: Keep left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 153.6 meters, Time: 110.6 seconds
Name: Concorde Road, Instruction: Turn left onto Concorde Road, Distance: 87.0 meters, Time: 62.7 seconds
Name: Alliance Road, Instruction: Keep right onto Alliance Road, Distance: 284.3 meters, Time: 204.7 seconds
Name: -, Instruction: Turn right, Distance: 156.1 meters, Time: 112.4 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
