Name: Dewson Street, Instruction: Head east on Dewson Street, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 244.0 meters, Time: 175.7 seconds
Name: -, Instruction: Turn left, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Turn right, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 98.7 meters, Time: 71.1 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 147.0 meters, Time: 105.9 seconds
Name: -, Instruction: Keep right, Distance: 223.1 meters, Time: 160.6 seconds
Name: Grace Street, Instruction: Keep right onto Grace Street, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn slight left, Distance: 128.6 meters, Time: 92.6 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: Clinton Street, Instruction: Turn right onto Clinton Street, Distance: 145.1 meters, Time: 104.5 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 74.7 meters, Time: 53.8 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: Mansfield Avenue, Instruction: Turn left onto Mansfield Avenue, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at Mansfield Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
