Name: Doncaster Avenue, Instruction: Head east on Doncaster Avenue, Distance: 173.0 meters, Time: 124.6 seconds
Name: Westlake Avenue, Instruction: Turn right onto Westlake Avenue, Distance: 411.9 meters, Time: 296.6 seconds
Name: Westlake Avenue, Instruction: Keep right onto Westlake Avenue, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 280.5 meters, Time: 202.0 seconds
Name: -, Instruction: Turn right, Distance: 131.5 meters, Time: 94.7 seconds
Name: -, Instruction: Turn left, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.1 seconds
Name: GO Train Access, Instruction: Turn left onto GO Train Access, Distance: 164.0 meters, Time: 118.1 seconds
Name: -, Instruction: Continue straight, Distance: 39.8 meters, Time: 28.6 seconds
Name: -, Instruction: Turn right, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Turn slight left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Keep right, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: Ted Reeve Drive, Instruction: Turn right onto Ted Reeve Drive, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 112.7 meters, Time: 81.1 seconds
Name: -, Instruction: Keep left, Distance: 5.2 meters, Time: 3.7 seconds
Name: Wayland Avenue, Instruction: Turn right onto Wayland Avenue, Distance: 47.2 meters, Time: 34.0 seconds
Name: Reese Fallon Way, Instruction: Turn left onto Reese Fallon Way, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 141.6 meters, Time: 102.0 seconds
Name: -, Instruction: Keep right, Distance: 6.4 meters, Time: 4.6 seconds
Name: Swanwick Avenue, Instruction: Turn left onto Swanwick Avenue, Distance: 172.4 meters, Time: 124.1 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Keep left, Distance: 225.7 meters, Time: 162.5 seconds
Name: -, Instruction: Turn slight right, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn slight right, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Keep right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
