Name: Calle Niños Héroes, Instruction: Head north on Calle Niños Héroes, Distance: 249.0 meters, Time: 179.3 seconds
Name: -, Instruction: Turn slight right, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Turn left, Distance: 109.1 meters, Time: 78.6 seconds
Name: -, Instruction: Turn left, Distance: 252.5 meters, Time: 181.8 seconds
Name: -, Instruction: Turn right, Distance: 442.2 meters, Time: 318.4 seconds
Name: -, Instruction: Keep left, Distance: 102.0 meters, Time: 73.5 seconds
Name: -, Instruction: Keep left, Distance: 201.7 meters, Time: 145.2 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 201.7 meters, Time: 145.2 seconds
Name: -, Instruction: Turn slight left, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
