Name: Aklander Rise, Instruction: Head northeast on Aklander Rise, Distance: 484.7 meters, Time: 349.0 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn right, Distance: 220.5 meters, Time: 158.7 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 117.4 meters, Time: 84.5 seconds
Name: Murphys Road, Instruction: Turn left onto Murphys Road, Distance: 164.8 meters, Time: 118.6 seconds
Name: Murphys Park Drive, Instruction: Turn right onto Murphys Park Drive, Distance: 314.5 meters, Time: 226.4 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: Picturesque Drive, Instruction: Turn right onto Picturesque Drive, Distance: 199.5 meters, Time: 143.7 seconds
Name: Vista Estate Boulevard, Instruction: Turn slight left onto Vista Estate Boulevard, Distance: 8.6 meters, Time: 6.2 seconds
Name: Vista Estate Boulevard, Instruction: Keep left onto Vista Estate Boulevard, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 90.9 meters, Time: 65.5 seconds
Name: -, Instruction: Turn right, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Hermitage Street, Instruction: Turn right onto Hermitage Street, Distance: 46.8 meters, Time: 33.7 seconds
Name: Hermitage Street, Instruction: Continue straight onto Hermitage Street, Distance: 29.1 meters, Time: 20.9 seconds
Name: Hermitage Street, Instruction: Keep left onto Hermitage Street, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 131.9 meters, Time: 95.0 seconds
Name: -, Instruction: Turn right, Distance: 239.0 meters, Time: 172.1 seconds
Name: Tāhere Road, Instruction: Turn right onto Tāhere Road, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Arrive at Tāhere Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
