Name: Degenfeldstraße, Instruction: Head south on Degenfeldstraße, Distance: 171.4 meters, Time: 123.4 seconds
Name: Destouchesstraße, Instruction: Turn right onto Destouchesstraße, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn left, Distance: 467.7 meters, Time: 336.7 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 416.7 meters, Time: 300.1 seconds
Name: Hohenstaufenstraße, Instruction: Turn right onto Hohenstaufenstraße, Distance: 6.1 meters, Time: 4.4 seconds
Name: Kurfürstenstraße, Instruction: Turn left onto Kurfürstenstraße, Distance: 418.8 meters, Time: 301.5 seconds
Name: Adalbertstraße, Instruction: Turn left onto Adalbertstraße, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 336.4 meters, Time: 242.2 seconds
Name: Ludwigstraße, Instruction: Turn right onto Ludwigstraße, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 102.1 meters, Time: 73.5 seconds
Name: Kaulbachstraße, Instruction: Turn right onto Kaulbachstraße, Distance: 235.0 meters, Time: 169.2 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
