Name: Bell Manor Drive, Instruction: Head north on Bell Manor Drive, Distance: 0.5 meters, Time: 0.4 seconds
Name: -, Instruction: Turn left, Distance: 144.7 meters, Time: 104.2 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: Cloverhill Road, Instruction: Turn left onto Cloverhill Road, Distance: 97.5 meters, Time: 70.2 seconds
Name: Kinsdale Boulevard, Instruction: Turn right onto Kinsdale Boulevard, Distance: 214.7 meters, Time: 154.6 seconds
Name: -, Instruction: Turn left, Distance: 154.1 meters, Time: 110.9 seconds
Name: -, Instruction: Continue straight, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Continue straight, Distance: 541.6 meters, Time: 389.9 seconds
Name: -, Instruction: Keep right, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 819.9 meters, Time: 590.3 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 167.8 meters, Time: 120.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
