Name: St John's Road, Instruction: Head south on St John's Road, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 64.9 meters, Time: 46.7 seconds
Name: -, Instruction: Keep right, Distance: 366.3 meters, Time: 263.8 seconds
Name: -, Instruction: Turn slight right, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Keep right, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Keep left, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Keep left, Distance: 231.5 meters, Time: 166.7 seconds
Name: -, Instruction: Keep right, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Keep left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
