Name: Sydenham Lane, Instruction: Head northwest on Sydenham Lane, Distance: 210.9 meters, Time: 151.8 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 128.7 meters, Time: 92.7 seconds
Name: -, Instruction: Keep left, Distance: 86.3 meters, Time: 62.1 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 49.4 meters, Time: 35.6 seconds
Name: Frampton Lane, Instruction: Turn left onto Frampton Lane, Distance: 291.9 meters, Time: 210.1 seconds
Name: Saymour Lane, Instruction: Turn slight right onto Saymour Lane, Distance: 186.6 meters, Time: 134.3 seconds
Name: Garners Avenue, Instruction: Turn left onto Garners Avenue, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 149.1 meters, Time: 107.4 seconds
Name: -, Instruction: Turn slight right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 380.3 meters, Time: 273.8 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
