Name: Bischweiler-Straße, Instruction: Head southwest on Bischweiler-Straße, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 60.9 meters, Time: 43.9 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn slight left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 300.7 meters, Time: 216.5 seconds
Name: -, Instruction: Keep left, Distance: 41.6 meters, Time: 29.9 seconds
Name: Schyrenplatz, Instruction: Continue straight onto Schyrenplatz, Distance: 33.3 meters, Time: 24.0 seconds
Name: Humboldtstraße, Instruction: Turn left onto Humboldtstraße, Distance: 161.9 meters, Time: 116.5 seconds
Name: Wittelsbacherstraße, Instruction: Turn sharp right onto Wittelsbacherstraße, Distance: 23.7 meters, Time: 17.1 seconds
Name: Wittelsbacherbrücke, Instruction: Turn left onto Wittelsbacherbrücke, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 287.0 meters, Time: 206.6 seconds
Name: Am Glockenbach, Instruction: Turn slight right onto Am Glockenbach, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 170.3 meters, Time: 122.6 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: Pestalozzistraße, Instruction: Turn slight right onto Pestalozzistraße, Distance: 235.2 meters, Time: 169.3 seconds
Name: -, Instruction: Keep left, Distance: 41.4 meters, Time: 29.8 seconds
Name: Pestalozzistraße, Instruction: Turn slight left onto Pestalozzistraße, Distance: 96.5 meters, Time: 69.5 seconds
Name: Stephanstraße, Instruction: Turn left onto Stephanstraße, Distance: 78.8 meters, Time: 56.7 seconds
Name: Thalkirchner Straße, Instruction: Turn left onto Thalkirchner Straße, Distance: 30.4 meters, Time: 21.9 seconds
Name: Reisingerstraße, Instruction: Turn right onto Reisingerstraße, Distance: 251.1 meters, Time: 180.8 seconds
Name: Lindwurmstraße, Instruction: Turn right onto Lindwurmstraße, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
