Name: Selwyn Road, Instruction: Head west on Selwyn Road, Distance: 85.4 meters, Time: 61.5 seconds
Name: The Drive, Instruction: Turn right onto The Drive, Distance: 174.8 meters, Time: 125.9 seconds
Name: Pukehana Avenue, Instruction: Turn right onto Pukehana Avenue, Distance: 414.3 meters, Time: 298.3 seconds
Name: -, Instruction: Turn left, Distance: 108.5 meters, Time: 78.1 seconds
Name: Orakau Avenue, Instruction: Turn right onto Orakau Avenue, Distance: 10.6 meters, Time: 7.7 seconds
Name: Pah Road, 12, Instruction: Turn right onto Pah Road, 12, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 45.2 meters, Time: 32.5 seconds
Name: Manukau Road, Instruction: Turn left onto Manukau Road, Distance: 6.8 meters, Time: 4.9 seconds
Name: Ngaroma Road, Instruction: Turn right onto Ngaroma Road, Distance: 324.4 meters, Time: 233.5 seconds
Name: Golf Road, Instruction: Turn right onto Golf Road, Distance: 173.5 meters, Time: 124.9 seconds
Name: Golf Road, Instruction: Turn slight left onto Golf Road, Distance: 82.7 meters, Time: 59.5 seconds
Name: -, Instruction: Turn left, Distance: 334.9 meters, Time: 241.1 seconds
Name: -, Instruction: Turn right, Distance: 231.0 meters, Time: 166.3 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: Michael Horton Drive, Instruction: Continue straight onto Michael Horton Drive, Distance: 37.7 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 135.8 meters, Time: 97.7 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
