Name: Rue Boulle, Instruction: Head east on Rue Boulle, Distance: 150.8 meters, Time: 108.5 seconds
Name: Rue Froment, Instruction: Turn slight right onto Rue Froment, Distance: 43.3 meters, Time: 31.1 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Keep left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 274.9 meters, Time: 197.9 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Keep left, Distance: 1.2 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight left, Distance: 171.2 meters, Time: 123.2 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Turn slight left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Keep right, Distance: 327.4 meters, Time: 235.7 seconds
Name: -, Instruction: Keep left, Distance: 263.4 meters, Time: 189.7 seconds
Name: -, Instruction: Turn right, Distance: 142.4 meters, Time: 102.6 seconds
Name: -, Instruction: Keep right, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn left, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
