Name: Tusculum Road, Instruction: Head west on Tusculum Road, Distance: 8.8 meters, Time: 6.3 seconds
Name: Currawong Avenue, Instruction: Turn left onto Currawong Avenue, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 573.3 meters, Time: 412.8 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 381.5 meters, Time: 274.7 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 171.8 meters, Time: 123.7 seconds
Name: -, Instruction: Turn right, Distance: 38.0 meters, Time: 27.3 seconds
Name: -, Instruction: Turn right, Distance: 722.5 meters, Time: 520.2 seconds
Name: -, Instruction: Turn left, Distance: 219.7 meters, Time: 158.2 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: Hawkesbury Road, Instruction: Turn right onto Hawkesbury Road, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 87.7 meters, Time: 63.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
