Name: Lorong 27A Geylang, Instruction: Head south on Lorong 27A Geylang, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 210.4 meters, Time: 151.5 seconds
Name: Lorong 25 Geylang, Instruction: Turn right onto Lorong 25 Geylang, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 125.3 meters, Time: 90.2 seconds
Name: -, Instruction: Turn left, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: Sims Avenue, Instruction: Turn left onto Sims Avenue, Distance: 50.1 meters, Time: 36.1 seconds
Name: Lorong 23 Geylang, Instruction: Turn right onto Lorong 23 Geylang, Distance: 273.7 meters, Time: 197.1 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 116.7 meters, Time: 84.0 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight left, Distance: 65.9 meters, Time: 47.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
