Name: Allée du Souvenir, Instruction: Head southeast on Allée du Souvenir, Distance: 8.5 meters, Time: 6.1 seconds
Name: Rue Jules Ferry, Instruction: Turn right onto Rue Jules Ferry, Distance: 72.4 meters, Time: 52.1 seconds
Name: Rue des Fauvelles, Instruction: Turn right onto Rue des Fauvelles, Distance: 150.6 meters, Time: 108.4 seconds
Name: Rue du Clos Lucé, Instruction: Turn left onto Rue du Clos Lucé, Distance: 198.9 meters, Time: 143.2 seconds
Name: Rue Saint-Lô, Instruction: Turn left onto Rue Saint-Lô, Distance: 446.6 meters, Time: 321.5 seconds
Name: Avenue Léonard de Vinci, Instruction: Turn right onto Avenue Léonard de Vinci, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 160.2 meters, Time: 115.3 seconds
Name: -, Instruction: Turn right, Distance: 83.5 meters, Time: 60.1 seconds
Name: -, Instruction: Keep right, Distance: 216.8 meters, Time: 156.1 seconds
Name: Place Carpeaux, Instruction: Keep right onto Place Carpeaux, Distance: 18.4 meters, Time: 13.3 seconds
Name: Place Carpeaux, Instruction: Turn right onto Place Carpeaux, Distance: 70.3 meters, Time: 50.6 seconds
Name: -, Instruction: Turn slight left, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 473.2 meters, Time: 340.7 seconds
Name: -, Instruction: Turn right, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
