Name: Privada Guillermo Prieto, Instruction: Head south on Privada Guillermo Prieto, Distance: 71.3 meters, Time: 51.3 seconds
Name: Calle Guillermo Prieto, Instruction: Turn right onto Calle Guillermo Prieto, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Turn left, Distance: 136.6 meters, Time: 98.4 seconds
Name: -, Instruction: Turn left, Distance: 47.7 meters, Time: 34.4 seconds
Name: -, Instruction: Turn right, Distance: 90.5 meters, Time: 65.2 seconds
Name: Avenida México, Instruction: Turn left onto Avenida México, Distance: 169.5 meters, Time: 122.1 seconds
Name: Avenida México, Instruction: Continue straight onto Avenida México, Distance: 287.4 meters, Time: 206.9 seconds
Name: Prolongación Lerdo, Instruction: Turn left onto Prolongación Lerdo, Distance: 83.6 meters, Time: 60.2 seconds
Name: Avenida Veracruz, Instruction: Turn right onto Avenida Veracruz, Distance: 371.8 meters, Time: 267.7 seconds
Name: Avenida Veracruz, Instruction: Keep right onto Avenida Veracruz, Distance: 17.3 meters, Time: 12.4 seconds
Name: Avenida Veracruz, Instruction: Continue straight onto Avenida Veracruz, Distance: 212.0 meters, Time: 152.7 seconds
Name: Cajellón 16 de Septiembre, Instruction: Turn left onto Cajellón 16 de Septiembre, Distance: 158.2 meters, Time: 113.9 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.2 seconds
Name: Calle 16 de Septiembre, Instruction: Turn left onto Calle 16 de Septiembre, Distance: 189.6 meters, Time: 136.5 seconds
Name: -, Instruction: Arrive at Calle 16 de Septiembre, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
