Name: Rue de la Reine Blanche, Instruction: Head southwest on Rue de la Reine Blanche, Distance: 164.5 meters, Time: 118.5 seconds
Name: Rue Gustave Geffroy, Instruction: Keep left onto Rue Gustave Geffroy, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 125.6 meters, Time: 90.4 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn slight right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Keep left, Distance: 125.7 meters, Time: 90.5 seconds
Name: -, Instruction: Turn slight left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: Rue des Cordelières, Instruction: Turn left onto Rue des Cordelières, Distance: 265.7 meters, Time: 191.3 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 237.3 meters, Time: 170.8 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 159.7 meters, Time: 115.0 seconds
Name: -, Instruction: Turn right, Distance: 24.5 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Keep left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
