Name: Joe Shuster Way, Instruction: Head east on Joe Shuster Way, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 290.5 meters, Time: 209.2 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn slight left, Distance: 109.5 meters, Time: 78.8 seconds
Name: -, Instruction: Keep left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight left, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Keep left, Distance: 126.5 meters, Time: 91.1 seconds
Name: -, Instruction: Keep left, Distance: 7.0 meters, Time: 5.0 seconds
Name: Cowan Avenue, Instruction: Turn left onto Cowan Avenue, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 229.5 meters, Time: 165.3 seconds
Name: -, Instruction: Keep right, Distance: 221.2 meters, Time: 159.3 seconds
Name: -, Instruction: Turn left, Distance: 131.3 meters, Time: 94.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
