Name: Kingsgrove Avenue, Instruction: Head west on Kingsgrove Avenue, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn slight right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn slight left, Distance: 101.2 meters, Time: 72.9 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 188.2 meters, Time: 135.5 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 231.8 meters, Time: 166.9 seconds
Name: -, Instruction: Keep right, Distance: 151.9 meters, Time: 109.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
