Name: Leuchtenbergring, B 2R, Instruction: Head north on Leuchtenbergring, B 2R, Distance: 24.9 meters, Time: 17.9 seconds
Name: Einsteinstraße, Instruction: Turn left onto Einsteinstraße, Distance: 7.8 meters, Time: 5.6 seconds
Name: Leuchtenbergring, Instruction: Turn right onto Leuchtenbergring, Distance: 180.8 meters, Time: 130.1 seconds
Name: -, Instruction: Turn slight left, Distance: 216.2 meters, Time: 155.6 seconds
Name: -, Instruction: Turn left, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Lisztstraße, Instruction: Turn left onto Lisztstraße, Distance: 101.9 meters, Time: 73.4 seconds
Name: Brucknerstraße, Instruction: Turn right onto Brucknerstraße, Distance: 198.9 meters, Time: 143.2 seconds
Name: Röntgenstraße, Instruction: Turn slight left onto Röntgenstraße, Distance: 427.1 meters, Time: 307.5 seconds
Name: Röntgenstraße, Instruction: Keep left onto Röntgenstraße, Distance: 491.8 meters, Time: 354.1 seconds
Name: Neuberghauser Straße, Instruction: Turn left onto Neuberghauser Straße, Distance: 210.4 meters, Time: 151.5 seconds
Name: Neuberghauser Straße, Instruction: Turn slight left onto Neuberghauser Straße, Distance: 122.5 meters, Time: 88.2 seconds
Name: -, Instruction: Turn left, Distance: 364.9 meters, Time: 262.8 seconds
Name: Oettingenstraße, Instruction: Turn sharp left onto Oettingenstraße, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
