Name: High Road, A105, Instruction: Head south on High Road, A105, Distance: 36.9 meters, Time: 26.6 seconds
Name: Myddleton Road, Instruction: Turn right onto Myddleton Road, Distance: 602.9 meters, Time: 434.1 seconds
Name: -, Instruction: Keep right, Distance: 80.7 meters, Time: 58.1 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: Herbert Road, Instruction: Turn right onto Herbert Road, Distance: 92.8 meters, Time: 66.8 seconds
Name: Queen's Road, Instruction: Turn right onto Queen's Road, Distance: 192.0 meters, Time: 138.3 seconds
Name: -, Instruction: Turn left, Distance: 119.2 meters, Time: 85.8 seconds
Name: -, Instruction: Continue straight, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Continue straight, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Continue straight, Distance: 59.9 meters, Time: 43.1 seconds
Name: -, Instruction: Continue straight, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.7 seconds
Name: York Road, Instruction: Turn left onto York Road, Distance: 219.6 meters, Time: 158.1 seconds
Name: Warwick Road, Instruction: Turn right onto Warwick Road, Distance: 10.5 meters, Time: 7.6 seconds
Name: Shrewsbury Road, Instruction: Turn left onto Shrewsbury Road, Distance: 195.0 meters, Time: 140.4 seconds
Name: Stanley Road, Instruction: Turn right onto Stanley Road, Distance: 71.9 meters, Time: 51.8 seconds
Name: Evesham Road, Instruction: Turn left onto Evesham Road, Distance: 166.6 meters, Time: 119.9 seconds
Name: -, Instruction: Arrive at Evesham Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
