Name: Avenue de la Bourdonnais, Instruction: Head southeast on Avenue de la Bourdonnais, Distance: 20.6 meters, Time: 14.8 seconds
Name: Rue de Monttessuy, Instruction: Turn left onto Rue de Monttessuy, Distance: 224.9 meters, Time: 162.0 seconds
Name: -, Instruction: Turn left, Distance: 55.9 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 246.8 meters, Time: 177.7 seconds
Name: -, Instruction: Keep right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Keep left, Distance: 169.4 meters, Time: 122.0 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Keep right, Distance: 111.1 meters, Time: 80.0 seconds
Name: -, Instruction: Turn left, Distance: 461.3 meters, Time: 332.1 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 141.4 meters, Time: 101.8 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 137.6 meters, Time: 99.1 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 232.5 meters, Time: 167.4 seconds
Name: -, Instruction: Turn right, Distance: 83.0 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 68.9 meters, Time: 49.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
