Name: Cornelia Road, Instruction: Head east on Cornelia Road, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 174.6 meters, Time: 125.7 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Keep right, Distance: 70.9 meters, Time: 51.0 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn left, Distance: 74.9 meters, Time: 53.9 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 71.8 meters, Time: 51.7 seconds
Name: Cooyong Crescent, Instruction: Turn left onto Cooyong Crescent, Distance: 384.7 meters, Time: 277.0 seconds
Name: -, Instruction: Turn right, Distance: 234.3 meters, Time: 168.7 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 319.5 meters, Time: 230.0 seconds
Name: -, Instruction: Turn left, Distance: 84.2 meters, Time: 60.7 seconds
Name: Rausch Street, Instruction: Turn right onto Rausch Street, Distance: 18.7 meters, Time: 13.5 seconds
Name: Hurley Street, Instruction: Turn left onto Hurley Street, Distance: 373.2 meters, Time: 268.7 seconds
Name: -, Instruction: Arrive at Hurley Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
