Name: Princess Street, Instruction: Head north on Princess Street, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 51.7 meters, Time: 37.3 seconds
Name: The Esplanade, Instruction: Turn right onto The Esplanade, Distance: 219.3 meters, Time: 157.9 seconds
Name: Berkeley Street, Instruction: Turn left onto Berkeley Street, Distance: 204.9 meters, Time: 147.5 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 93.7 meters, Time: 67.4 seconds
Name: -, Instruction: Turn left, Distance: 89.4 meters, Time: 64.4 seconds
Name: -, Instruction: Turn slight right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Keep right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 80.2 meters, Time: 57.7 seconds
Name: Power Street, Instruction: Turn left onto Power Street, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 153.8 meters, Time: 110.8 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: Sackville Street, Instruction: Turn left onto Sackville Street, Distance: 210.5 meters, Time: 151.6 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 160.6 meters, Time: 115.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
