Name: Anson Road, Instruction: Head northeast on Anson Road, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 100.8 meters, Time: 72.6 seconds
Name: Gopeng Street, Instruction: Turn sharp right onto Gopeng Street, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 73.0 meters, Time: 52.5 seconds
Name: -, Instruction: Keep right, Distance: 128.4 meters, Time: 92.5 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.3 meters, Time: 10.3 seconds
Name: Cecil Street, Instruction: Turn sharp left onto Cecil Street, Distance: 38.7 meters, Time: 27.8 seconds
Name: -, Instruction: Keep left, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn left, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.4 seconds
Name: Telok Ayer Street, Instruction: Turn left onto Telok Ayer Street, Distance: 109.0 meters, Time: 78.5 seconds
Name: Telok Ayer Street, Instruction: Continue straight onto Telok Ayer Street, Distance: 543.9 meters, Time: 391.6 seconds
Name: Church Street, Instruction: Turn left onto Church Street, Distance: 24.9 meters, Time: 18.0 seconds
Name: Phillip Street, Instruction: Turn right onto Phillip Street, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 136.1 meters, Time: 98.0 seconds
Name: Chulia Street, Instruction: Turn right onto Chulia Street, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Keep right, Distance: 37.7 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
