Name: Kingdale Road, Instruction: Head south on Kingdale Road, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 132.0 meters, Time: 95.0 seconds
Name: -, Instruction: Turn left, Distance: 100.6 meters, Time: 72.4 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Glen Norman Avenue, Instruction: Turn right onto Glen Norman Avenue, Distance: 168.5 meters, Time: 121.3 seconds
Name: -, Instruction: Turn left, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn left, Distance: 167.9 meters, Time: 120.9 seconds
Name: -, Instruction: Turn left, Distance: 680.0 meters, Time: 489.6 seconds
Name: -, Instruction: Turn left, Distance: 82.0 meters, Time: 59.0 seconds
Name: -, Instruction: Turn slight left, Distance: 342.3 meters, Time: 246.4 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: Sturges Shared Path, Instruction: Continue straight onto Sturges Shared Path, Distance: 16.9 meters, Time: 12.1 seconds
Name: Sturges Shared Path, Instruction: Turn sharp right onto Sturges Shared Path, Distance: 166.8 meters, Time: 120.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 177.6 meters, Time: 127.9 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: Miriam Corban Heights, Instruction: Turn left onto Miriam Corban Heights, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 30.1 meters, Time: 21.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
