Name: Hinemoa Street, Instruction: Head northwest on Hinemoa Street, Distance: 206.7 meters, Time: 148.8 seconds
Name: Wakanui Street, Instruction: Turn right onto Wakanui Street, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 117.0 meters, Time: 84.2 seconds
Name: -, Instruction: Turn left, Distance: 287.0 meters, Time: 206.6 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 493.4 meters, Time: 355.3 seconds
Name: -, Instruction: Turn slight right, Distance: 205.3 meters, Time: 147.8 seconds
Name: -, Instruction: Turn right, Distance: 535.3 meters, Time: 385.4 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Keep right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Keep left, Distance: 131.0 meters, Time: 94.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
