Name: Rue Poissonnière, Instruction: Head south on Rue Poissonnière, Distance: 189.2 meters, Time: 136.2 seconds
Name: Rue des Petits Carreaux, Instruction: Continue straight onto Rue des Petits Carreaux, Distance: 34.1 meters, Time: 24.5 seconds
Name: Rue des Petits Carreaux, Instruction: Keep left onto Rue des Petits Carreaux, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Keep right, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Keep left, Distance: 21.9 meters, Time: 15.7 seconds
Name: -, Instruction: Turn slight right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn slight left, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Keep right, Distance: 239.3 meters, Time: 172.3 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn slight right, Distance: 55.2 meters, Time: 39.7 seconds
Name: -, Instruction: Turn right, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: Rue Saint-Martin, Instruction: Turn right onto Rue Saint-Martin, Distance: 7.1 meters, Time: 5.1 seconds
Name: Rue Saint-Martin, Instruction: Turn left onto Rue Saint-Martin, Distance: 26.0 meters, Time: 18.7 seconds
Name: Rue Cunin Gridaine, Instruction: Continue straight onto Rue Cunin Gridaine, Distance: 144.4 meters, Time: 104.0 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Keep left, Distance: 167.2 meters, Time: 120.4 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 71.9 meters, Time: 51.8 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: Rue du Temple, Instruction: Turn right onto Rue du Temple, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Arrive at Rue du Temple, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
