Name: Erzgießereistraße, Instruction: Head southwest on Erzgießereistraße, Distance: 254.9 meters, Time: 183.5 seconds
Name: -, Instruction: Turn left, Distance: 158.4 meters, Time: 114.1 seconds
Name: -, Instruction: Turn left, Distance: 34.2 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 420.2 meters, Time: 302.5 seconds
Name: -, Instruction: Turn left, Distance: 142.6 meters, Time: 102.6 seconds
Name: -, Instruction: Continue straight, Distance: 106.3 meters, Time: 76.5 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: Arnulfstraße, Instruction: Turn right onto Arnulfstraße, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 87.7 meters, Time: 63.2 seconds
Name: Bernhard-Wicki-Straße, Instruction: Turn left onto Bernhard-Wicki-Straße, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn slight right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
