Name: Paris Street, Instruction: Head south on Paris Street, Distance: 20.7 meters, Time: 14.9 seconds
Name: East 45th Avenue, Instruction: Turn sharp left onto East 45th Avenue, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 147.6 meters, Time: 106.3 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: East 45th Avenue, Instruction: Turn right onto East 45th Avenue, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: East 45th Avenue, Instruction: Turn right onto East 45th Avenue, Distance: 333.6 meters, Time: 240.2 seconds
Name: East 44th Avenue, Instruction: Turn left onto East 44th Avenue, Distance: 116.1 meters, Time: 83.6 seconds
Name: -, Instruction: Turn left, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Turn right, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
