Name: Lorong 104 Changi, Instruction: Head south on Lorong 104 Changi, Distance: 56.5 meters, Time: 40.6 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 118.7 meters, Time: 85.5 seconds
Name: -, Instruction: Turn slight right, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Turn slight left, Distance: 2.9 meters, Time: 2.1 seconds
Name: Everitt Road North, Instruction: Turn left onto Everitt Road North, Distance: 64.3 meters, Time: 46.3 seconds
Name: Joo Chiat Terrace, Instruction: Turn right onto Joo Chiat Terrace, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Keep right, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.4 meters, Time: 2.4 seconds
Name: Tembeling Road, Instruction: Turn sharp left onto Tembeling Road, Distance: 32.9 meters, Time: 23.7 seconds
Name: Joo Chiat Place, Instruction: Turn sharp right onto Joo Chiat Place, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Turn right, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn left, Distance: 64.4 meters, Time: 46.4 seconds
Name: Joo Chiat Lane, Instruction: Turn right onto Joo Chiat Lane, Distance: 4.1 meters, Time: 2.9 seconds
Name: Joo Chiat Road, Instruction: Turn left onto Joo Chiat Road, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 50.0 meters, Time: 36.0 seconds
Name: Ceylon Lane, Instruction: Turn right onto Ceylon Lane, Distance: 168.1 meters, Time: 121.0 seconds
Name: -, Instruction: Turn left, Distance: 118.9 meters, Time: 85.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
