Name: Merrylands Road, Instruction: Head east on Merrylands Road, Distance: 61.8 meters, Time: 44.5 seconds
Name: Clarence Street, Instruction: Turn left onto Clarence Street, Distance: 619.8 meters, Time: 446.2 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 289.0 meters, Time: 208.1 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 96.3 meters, Time: 69.4 seconds
Name: -, Instruction: Keep right, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Keep left, Distance: 302.3 meters, Time: 217.7 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 113.7 meters, Time: 81.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
