Name: Avenue Stéphane Mallarmé, Instruction: Head northeast on Avenue Stéphane Mallarmé, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 57.3 meters, Time: 41.2 seconds
Name: -, Instruction: Turn slight left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Keep left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Keep left, Distance: 315.3 meters, Time: 227.0 seconds
Name: -, Instruction: Turn slight left, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Keep left, Distance: 190.6 meters, Time: 137.2 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 97.7 meters, Time: 70.3 seconds
Name: -, Instruction: Turn slight right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn slight right, Distance: 237.2 meters, Time: 170.7 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight right, Distance: 92.0 meters, Time: 66.3 seconds
Name: -, Instruction: Turn slight left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 148.3 meters, Time: 106.8 seconds
Name: Place du Général Catroux, Instruction: Turn left onto Place du Général Catroux, Distance: 48.0 meters, Time: 34.6 seconds
Name: Place du Général Catroux, Instruction: Turn slight right onto Place du Général Catroux, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Keep left, Distance: 152.1 meters, Time: 109.5 seconds
Name: -, Instruction: Turn slight left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn slight left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight right, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
