Name: Albrecht Avenue, Instruction: Head northwest on Albrecht Avenue, Distance: 205.5 meters, Time: 147.9 seconds
Name: -, Instruction: Turn left, Distance: 117.6 meters, Time: 84.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn slight left, Distance: 704.2 meters, Time: 507.0 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 283.4 meters, Time: 204.0 seconds
Name: -, Instruction: Keep right, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn right, Distance: 111.3 meters, Time: 80.2 seconds
Name: -, Instruction: Turn left, Distance: 115.9 meters, Time: 83.4 seconds
Name: Pātaka Way, Instruction: Turn right onto Pātaka Way, Distance: 5.4 meters, Time: 3.9 seconds
Name: Sanft Avenue, Instruction: Turn left onto Sanft Avenue, Distance: 85.6 meters, Time: 61.6 seconds
Name: Freeland Avenue, Instruction: Turn right onto Freeland Avenue, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Arrive at Freeland Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
