Name: Hertford Road, Instruction: Head south on Hertford Road, Distance: 264.5 meters, Time: 190.4 seconds
Name: De Beauvoir Square, Instruction: Turn left onto De Beauvoir Square, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.0 seconds
Name: Enfield Road, Instruction: Turn right onto Enfield Road, Distance: 217.5 meters, Time: 156.6 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Continue straight, Distance: 71.9 meters, Time: 51.8 seconds
Name: -, Instruction: Turn slight right, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 87.4 meters, Time: 62.9 seconds
Name: De Beauvoir Road, Instruction: Turn right onto De Beauvoir Road, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn left, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn right, Distance: 154.8 meters, Time: 111.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
