Name: Nicholson Street, Instruction: Head west on Nicholson Street, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn right, Distance: 231.8 meters, Time: 166.9 seconds
Name: -, Instruction: Turn left, Distance: 495.2 meters, Time: 356.5 seconds
Name: Blackfriars Bridge, Instruction: Continue straight onto Blackfriars Bridge, Distance: 151.8 meters, Time: 109.3 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.4 seconds
Name: Queen Victoria Street, Instruction: Turn right onto Queen Victoria Street, Distance: 31.4 meters, Time: 22.6 seconds
Name: St Andrew's Hill, Instruction: Turn left onto St Andrew's Hill, Distance: 112.0 meters, Time: 80.6 seconds
Name: Carter Lane, Instruction: Turn right onto Carter Lane, Distance: 59.4 meters, Time: 42.8 seconds
Name: Dean's Court, Instruction: Turn left onto Dean's Court, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 71.2 meters, Time: 51.3 seconds
Name: St Paul's Churchyard, Instruction: Turn right onto St Paul's Churchyard, Distance: 145.6 meters, Time: 104.8 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 158.8 meters, Time: 114.4 seconds
Name: Gresham Street, Instruction: Turn sharp right onto Gresham Street, Distance: 5.9 meters, Time: 4.2 seconds
Name: Foster Lane, Instruction: Turn sharp left onto Foster Lane, Distance: 5.2 meters, Time: 3.8 seconds
Name: Gresham Street, Instruction: Turn left onto Gresham Street, Distance: 2.8 meters, Time: 2.0 seconds
Name: Noble Street, Instruction: Turn right onto Noble Street, Distance: 27.6 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 114.3 meters, Time: 82.3 seconds
Name: Noble Street, Instruction: Turn right onto Noble Street, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 46.3 meters, Time: 33.3 seconds
Name: -, Instruction: Turn right, Distance: 86.4 meters, Time: 62.2 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
